TDCchannel,hodoChannel,inputPort,outputPort
00,H4Tu08,D00,C00
01,H4Tu07,D01,C01
02,H4Tu06,D02,C02
03,H4Tu05,D03,C03
04,H4Tu04,D04,C04
05,H4Tu03,D05,C05
06,H4Tu02,D06,C06
07,H4Tu01,D07,C07
08,H4Td08,D08,C08
09,H4Td07,D09,C09
10,H4Td06,D10,C10
11,H4Td05,D11,C11
12,H4Td04,D12,C12
13,H4Td03,D13,C13
14,H4Td02,D14,C14
15,H4Td01,D15,C15
16,H4Tu16,D16,C16
17,H4Tu15,D17,C17
18,H4Tu14,D18,C18
19,H4Tu13,D19,C19
20,H4Tu12,D20,C20
21,H4Tu11,D21,C21
22,H4Tu10,D22,C22
23,H4Tu09,D23,C23
24,H4Td16,D24,C24
25,H4Td15,D25,C25
26,H4Td14,D26,C26
27,H4Td13,D27,C27
28,H4Td12,D28,C28
29,H4Td11,D29,C29
30,H4Td10,D30,C30
31,H4Td09,D31,C31
32,H2T16,B00,F00
33,H2T15,B01,F01
34,H2T14,B02,F02
35,H2T13,B03,F03
36,H2T12,B04,F04
37,H2T11,B05,F05
38,H2T10,B06,F06
39,H2T09,B07,F07
40,H2T08,B08,F08
41,H2T07,B09,F09
42,H2T06,B10,F10
43,H2T05,B11,F11
44,H2T04,B12,F12
45,H2T03,B13,F13
46,H2T02,B14,F14
47,H2T01,B15,F15
48,H3T16,B16,F16
49,H3T15,B17,F17
50,H3T14,B18,F18
51,H3T13,B19,F19
52,H3T12,B20,F20
53,H3T11,B21,F21
54,H3T10,B22,F22
55,H3T09,B23,F23
56,H3T08,B24,F24
57,H3T07,B25,F25
58,H3T06,B26,F26
59,H3T05,B27,F27
60,H3T04,B28,F28
61,H3T03,B29,F29
62,H3T02,B30,F30
63,H3T01,B31,F31
64,XXXXX,G00,XXX
65,XXXXX,G01,XXX
66,H1T23,A02,E02
67,H1T22,A03,E03
68,H1T21,A04,E04
69,H1T20,A05,E05
70,H1T19,A06,E06
71,H1T18,A07,E07
72,H1T17,A08,E08
73,H1T16,A09,E09
74,H1T15,A10,E10
75,H1T14,A11,E11
76,H1T13,A12,E12
77,H1T12,A13,E13
78,XXXXX,A14,E14
79,XXXXX,A15,E15
80,XXXXX,A16,E16
81,XXXXX,A17,E17
82,H1T11,A18,E18
83,H1T10,A19,E19
84,H1T09,A20,E20
85,H1T08,A21,E21
86,H1T07,A22,E22
87,H1T06,A23,E23
88,H1T05,A24,E24
89,H1T04,A25,E25
90,H1T03,A26,E26
91,H1T02,A27,E27
92,H1T01,A28,E28
93,XXXXX,A29,E29
94,XXXXX,A30,E30
95,XXXXX,A31,E31
