TDCchannel,hodoChannel,inpuTPorT,ouTpuTPorT
00,H4Bu08,D00,C00
01,H4Bu07,D01,C01
02,H4Bu06,D02,C02
03,H4Bu05,D03,C03
04,H4Bu04,D04,C04
05,H4Bu03,D05,C05
06,H4Bu02,D06,C06
07,H4Bu01,D07,C07
08,H4Bd08,D08,C08
09,H4Bd07,D09,C09
10,H4Bd06,D10,C10
11,H4Bd05,D11,C11
12,H4Bd04,D12,C12
13,H4Bd03,D13,C13
14,H4Bd02,D14,C14
15,H4Bd01,D15,C15
16,H4Bu16,D16,C16
17,H4Bu15,D17,C17
18,H4Bu14,D18,C18
19,H4Bu13,D19,C19
20,H4Bu12,D20,C20
21,H4Bu11,D21,C21
22,H4Bu10,D22,C22
23,H4Bu09,D23,C23
24,H4Bd16,D24,C24
25,H4Bd15,D25,C25
26,H4Bd14,D26,C26
27,H4Bd13,D27,C27
28,H4Bd12,D28,C28
29,H4Bd11,D29,C29
30,H4Bd10,D30,C30
31,H4Bd09,D31,C31
32,H2B16,B00,F00
33,H2B15,B01,F01
34,H2B14,B02,F02
35,H2B13,B03,F03
36,H2B12,B04,F04
37,H2B11,B05,F05
38,H2B10,B06,F06
39,H2B09,B07,F07
40,H2B08,B08,F08
41,H2B07,B09,F09
42,H2B06,B10,F10
43,H2B05,B11,F11
44,H2B04,B12,F12
45,H2B03,B13,F13
46,H2B02,B14,F14
47,H2B01,B15,F15
48,H3B16,B16,F16
49,H3B15,B17,F17
50,H3B14,B18,F18
51,H3B13,B19,F19
52,H3B12,B20,F20
53,H3B11,B21,F21
54,H3B10,B22,F22
55,H3B09,B23,F23
56,H3B08,B24,F24
57,H3B07,B25,F25
58,H3B06,B26,F26
59,H3B05,B27,F27
60,H3B04,B28,F28
61,H3B03,B29,F29
62,H3B02,B30,F30
63,H3B01,B31,F31
64,XXXXX,G00,XXX
65,XXXXX,G01,XXX
66,H1B23,A02,E02
67,H1B22,A03,E03
68,H1B21,A04,E04
69,H1B20,A05,E05
70,H1B19,A06,E06
71,H1B18,A07,E07
72,H1B17,A08,E08
73,H1B16,A09,E09
74,H1B15,A10,E10
75,H1B14,A11,E11
76,H1B13,A12,E12
77,H1B12,A13,E13
78,XXXXX,A14,E14
79,XXXXX,A15,E15
80,XXXXX,A16,E16
81,XXXXX,A17,E17
82,H1B11,A18,E18
83,H1B10,A19,E19
84,H1B09,A20,E20
85,H1B08,A21,E21
86,H1B07,A22,E22
87,H1B06,A23,E23
88,H1B05,A24,E24
89,H1B04,A25,E25
90,H1B03,A26,E26
91,H1B02,A27,E27
92,H1B01,A28,E28
93,XXXXX,A29,E29
94,XXXXX,A30,E30
95,XXXXX,A31,E31
